,Tweeted Date,Tweet Description,Popularity Count
13,2021-05-03,#BTS #방탄소년단 #BTS_Butter Concept Clip - 정국 (Jung Kook) https://t.co/xRwp5Arev4,1740141
15,2021-05-04,#BTS #방탄소년단 #BTS_Butter Concept Clip - 진 (Jin) https://t.co/gNMCqtcSC6,1615642
14,2021-05-05,#BTS #방탄소년단 #BTS_Butter Concept Clip - 제이홉 (j-hope) https://t.co/eexUmvzaZb,1510707
0,2021-05-09,#BTS #방탄소년단 #BTS_Butter Group Teaser Photo 1 https://t.co/mVsAGpgDdg,1197240
1,2021-05-09,"Are you smooth like Butter?
#SmoothLikeButter #BTS_Butter

🧈 Pre-save &amp; Pre-add: https://t.co/ssYJaq7MKR
🧈 MP3 Pre-… https://t.co/DnNOa928AL",645883
16,2021-05-06,"Pre-order @bts_bighit BUTTER digital single and limited edition 7"" vinyl &amp; cassette now! https://t.co/43iAh0G4nj… https://t.co/sHvcE466Or",418650
20,2021-05-05,We can't wait for 'Butter'! Pre-order @bts_bighit savory new single now! https://t.co/43iAh0otvL #BTS_Butter,201277
21,2021-05-04,just heard the new @BTS_twt #BTS_Butter in the @ColumbiaRecords tour bus 🔥🔥 https://t.co/Wa6DRSKHEZ,82946
2,2021-05-09,"#BTS Excites With 1st Group Teaser For ""Butter"" https://t.co/kEwNS2UKsW https://t.co/TMWpLxxbQB",19412
8,2021-05-08,BTS is dropping a limited-edition version of #Butter on cassette/vinyl 🧈  https://t.co/BE9e3jrblc,18423
12,2021-05-07,"Thus, in conclusion, #BTS Butter will be a hit 🧈",14295
7,2021-05-09,The band's new single is less than two weeks away https://t.co/AcRe0PphoM,12249
10,2021-05-09,"BTS continue to melt hearts ahead of their new English-language single ""Butter."" https://t.co/1gmzIAD4lq",8116
4,2021-05-09,"[UCC]
BTS Jungkook trends the highest at #2 worldwide and #3 in the U.S. following “Butter” group teaser photo… https://t.co/p54ziZhEbD",7540
3,2021-05-09,VEM MUITO AÍ! A BIGHIT divulgou uma nova foto promocional do novo single #BTS_Butter que será lançado no dia 21 de… https://t.co/vQlvboNeDz,7003
22,2021-05-07,"BTS are dropping a limited-edition version of their upcoming second English-language single ""Butter"" on cassette an… https://t.co/dGaxU4EafS",6650
17,2021-05-08,Got to hang on the #ButterBus #BTS_Butter sounds like @BTS_twt  has got another banger 💥 #BTSArmy!  5-21-21… https://t.co/irDiNdz17U,6317
9,2021-05-09,"BTS gets smooth like 'Butter' in first group teaser photo for comeback 
https://t.co/B6ZF0UYUO3 https://t.co/bZQYOeEqse",6080
5,2021-05-09,#ButterTeaser1 Is Already #1 On Twitter Worldwide With #JUNGKOOK at #2 And Now #3 Replaced By #BTS_Butter! JIMINS &amp;… https://t.co/hc8NRgTM6d,5185
6,2021-05-09,Let’s do this! Pre-Save. Pre-Add. Pre-Order #SmoothLikeButter #BTS_Butter https://t.co/nuIBHRDXxm https://t.co/AH8yz6X4du,1408
11,2021-05-09,"แค่ภาพแรกก็ใจเต้นแล้ววว~ 🥰

#ButterTeaser1
#BTS #BTS_Butter 
#SFcinema 🍿💜 https://t.co/hPujNcvh5n",1329
18,2021-05-08,The #bts #ButterBus unexpectedly rolled into Greenville yesterday! New music from @bts_bighit is on the way! 🔥… https://t.co/PAwprhuccB,593
19,2021-05-08,"It may have only meant to tease the new song by #BTS, but ARMY 💜 should consider this as a special invitation to th… https://t.co/LrtH1Whdmg",552
23,2021-05-02,Less than 5 people in the 🇺🇸 are using https://t.co/nuIBHRDXxm right now. Let’s change that 👀 https://t.co/pyTZNtSPkB,399
25,2021-05-02,"THIS IS NOT A DRILL: BTS has a new song called ""Butter"" coming out May 21 😍 #TheBuzz https://t.co/RGeREcMcys",77
24,2021-05-03,"#BTS #방탄소년단 #BTS_Butter Concept Clip - Teaser Poster

PRE-SAVE/PRE-ADD/PRE-ORDER: https://t.co/hmyY9Su3JM https://t.co/xInzikBdHB",66
26,2021-05-03,"#BTS drops first cryptic teaser poster of English language track #Butter

#GeoNews
https://t.co/ALzUXOlbAO",56
