,Tweeted Date,Tweet Description,Popularity Count
0,2021-05-20,"[#태그]

곰태그
다들 손 잘 씻고 계시죠?🐻

#Ciipher #싸이퍼 #ไซเฟอร์ https://t.co/zITMoqBG0e",6363
1,2021-05-20,"[#CPR] 싸이퍼(Ciipher) 도환 'Shawn Mendes - In My Blood' Cover (Arranged by 케이타)

🤘 https://t.co/twqhsfJajf

#도환 #DOHWAN… https://t.co/1avhwwXeQp",2939
2,2021-05-21,"[#CPR] #현빈 #원
#TikTok #변신챌린지 영상 도착💌

싸이퍼 틱톡 채널에서
만나보세요❤

🤘 https://t.co/wn0vJxeJWb

#Ciipher #싸이퍼",1897
128,2021-05-20,"#prupdates 
Astro Broadcast PCs have arrived!! Quality suuuuper thick!! Postage can go out as per usual tmr!! Do ch… https://t.co/657m0tZ7yl",19
33,2021-05-20,"my favorite boy 
#원 #CIIPHER #싸이퍼 #박성원   #PARKSUNGWON #SUNGWON #성원 https://t.co/9sRpETopHS",11
21,2021-05-20,"[All For Ciipher] - Tiktok

HSR4 Tag iconic look appreciation 
#Ciipher #싸이퍼 #TAG #태그 
https://t.co/5XJsY92Hal",10
22,2021-05-20,"210519 won 
#원 #CIIPHER #싸이퍼 #박성원   #PARKSUNGWON #SUNGWON #성원 https://t.co/wFFECq0vGI",6
56,2021-05-20,Artists I listen to daily  - aespa Treasure NCT weeekly ciipher EVERGLOW jessi psycho(By-redvelevet) kdrama ost iko… https://t.co/02ECqxLShK,5
40,2021-05-20,hi im xu! i have been on stan twt for awhile. pls rt / like to help me find moots! 16+ please! here are some groups… https://t.co/HrYDGxeBnR,3
12,2021-05-21,i dont think people are aware of how talented ciipher is ??? they literally debuted with a self-produced album,2
48,2021-05-20,Stanning æspa treasure ciipher since DAY1 is a flex 😾,2
68,2021-05-20,bought a sealed ciipher album but still manage to get a won set 😍 cutieeeee https://t.co/2uvjlId18d,2
