,Tweeted Date,Tweet Description,Popularity Count
5,2021-05-14 16:30:00,"#TuneFix | What are you listening to this week?

#MyLife #Machayenge3 #LikeToySoldiers #Eminem 
https://t.co/mfLbzCNLxL",8
0,2021-05-14 22:09:01,"RT @ieEntertainment: #TuneFix | What are you listening to this week?

#MyLife #Machayenge3 #LikeToySoldiers #Eminem 
https://t.co/mfLbzCNLxL",0
1,2021-05-14 22:03:53,"RT @ieEntertainment: #TuneFix | What are you listening to this week?

#MyLife #Machayenge3 #LikeToySoldiers #Eminem 
https://t.co/mfLbzCNLxL",0
2,2021-05-14 19:40:08,Jaehyo was the one who suggested for Junhyung of B2ST to audition for Cube Entertainment and Joon of MBLAQ to audition for J.Tune.,0
3,2021-05-14 18:00:34,"Tune Fix: From J Cole’s My Life to Axel Thesleff’s Bad Karma, songs you need to listen to this week - The Indian Ex… https://t.co/hB8SGDJygp",0
4,2021-05-14 16:31:51,"RT @ieEntertainment: #TuneFix | What are you listening to this week?

#MyLife #Machayenge3 #LikeToySoldiers #Eminem 
https://t.co/mfLbzCNLxL",0
6,2021-05-13 16:40:10,Jaehyo was the one who suggested for Junhyung of B2ST to audition for Cube Entertainment and Joon of MBLAQ to audition for J.Tune.,0
7,2021-05-12 16:10:10,Jaehyo was the one who suggested for Junhyung of B2ST to audition for Cube Entertainment and Joon of MBLAQ to audition for J.Tune.,0
8,2021-05-11 16:01:12,RT @JuliusErving: Tune in to CBS This Morning tomorrow (February 24) at 8:30 AM ET to watch a feature profile of @LeiferNeil. Neil Leifer’s…,0
9,2021-05-11 15:10:07,Jaehyo was the one who suggested for Junhyung of B2ST to audition for Cube Entertainment and Joon of MBLAQ to audition for J.Tune.,0
10,2021-05-10 10:10:27,Jaehyo was the one who suggested for Junhyung of B2ST to audition for Cube Entertainment and Joon of MBLAQ to audition for J.Tune.,0
11,2021-05-09 05:40:02,Jaehyo was the one who suggested for Junhyung of B2ST to audition for Cube Entertainment and Joon of MBLAQ to audition for J.Tune.,0
12,2021-05-08 06:40:21,Jaehyo was the one who suggested for Junhyung of B2ST to audition for Cube Entertainment and Joon of MBLAQ to audition for J.Tune.,0
