,Tweeted Date,Tweet Description,Popularity Count
1,2021-05-12 04:20:00,"Jay B, formerly known as JB of GOT7, has officially signed with Jay Park’s H1GHR MUSIC after leaving JYP Entertainm… https://t.co/JPOB1sftM6",2763
0,2021-05-13 03:10:27,"The 5 Most Popular K-Pop Idols At JYP Entertainment Each Year For The Last Decade

https://t.co/xj9FzT7xIE",2092
2,2021-05-12 18:58:52,"#NaInWoo Talks About Difficulties Filming ""#RiverWhereTheMoonRises,"" Training At JYP With #TWICE's Jeongyeon, And M… https://t.co/rzXbChknEI",1431
55,2021-05-12 04:18:20,"o zepeto falou do itzy ontem e hoje a jyp anunciou o mitm english version, eu juro por deus que se vier em zepeto de novo....",24
145,2021-05-12 04:14:19,"カフェ付いてるの〜JYPの福利厚生すごくてびっくりのソンニム2人✨チャンビンのポイントでコーヒー奢ってもらうミニョク様とホンジュン💕
注文の際は歌を歌うシステムってほんまかーいwww ミニョク様可愛い💕

#ATEEZ #BTOB… https://t.co/VTuQP8FDSB",9
101,2021-05-12 04:16:14,I notice #BTOB Minhyuk and Our Captain #ATEEZ Hongjoong look like siblings Big brother with his little bro entering… https://t.co/n4VnlIb3uN,6
40,2021-05-12 04:19:05,@GotGaGaEnergy @baambloo @savnyeong does rain like jyp? he's gone on shows with him iirc so i was just wondering,5
139,2021-05-12 04:14:29,whenever theres a english version of these korean songs… its just horrible truly especially coming from jyp 😭 oh ga… https://t.co/4YwXS9tDXd,2
65,2021-05-12 04:17:55,"このオーディション番組少し見たけどこの人にそんなプロデュース力あるのかなぁと思ってしまう。
単純にNiziUは餅ゴリにプロデュース力があってJYPのアーティストとして活動できる強みがあるからこそ参加する意義あったけど…
この人の立… https://t.co/BLCyd0RZQL",2
61,2021-05-12 04:17:59,"@_yg_jyp_ お返事ありがとうございます！

かしこまりました◎
こちらこそまた機会がありましたら宜しくお願いいたします☺︎",1
141,2021-05-12 04:14:28,"WTS⭕ TWICE superstar JYP chillax photocard 
트와이스 슈스제 할로윈 포카세트
가격 DM으로 제시받음 낱개로 판매안함
시세안맞는 가격 무시, 답장 안함
not sell ind… https://t.co/g5Gh4C0Rzq",1
134,2021-05-12 04:14:41,"shinee é da jyp agora

fontes: @LarinhaX7",1
67,2021-05-12 04:17:53,@Shirotsukiwa นอนยังเนี่ย,1
84,2021-05-12 04:17:01,"Jihyo The Meme Face 
#JYP #TWICE #memesdaily 
#GodJihyo https://t.co/Lri5luro0s",1
99,2021-05-12 04:16:16,RT @tpwkbitchezz: “not all men” okay but enough to make us afraid to live out lives,0
100,2021-05-12 04:16:15,RT @imjababy: I mean I'm not comparable to @JacksonWang852 @GOT7Official but here is my take of Jackson's Pretty Please 🔥🙏🏻 #TEAMWANG #pret…,0
98,2021-05-12 04:16:17,"RT @BTOBMelody95: ทำไมไม่มีใครบอกพี่มินฮยอก บีทูบี กันเลยว่า
จะใส่ธีมดำ 55555 ปกติพี่มินอยู่กับบีทูบีพี่ก็เป็น
คนเดียวที่ใส่ชุดไม่เข้าธีมกั…",0
104,2021-05-12 04:16:10,"RT @h_hananii: Collab กับศป.หญิงในค่ายหรอ
วายจี .......... https://t.co/8jyyfjhPMc",0
102,2021-05-12 04:16:13,RT @vsv_kd: คือยังไงอ่ะJYP ไอ้เราก็สั่งจากช็อป Officialเพราะคิดว่าจะได้ของครบของจริง นี่ยังไงอ่ะ เราไม่ได้ film roll bookmark ตอนแรกก็เอะใจ…,0
103,2021-05-12 04:16:11,RT @baambloo: The anti jyp sunbaes https://t.co/0lrDTFcbx1,0
96,2021-05-12 04:16:20,RT @MBT4237: ตอนที่วงหมดสัญญาไม่เคยเสียใจเลยที่ GOT7 ออกจาก JYP แต่เสียใจที่ทุกคนต้องแยกย้ายกัน แต่ตอนนี้บอกเลยว่าโอเคมากๆ เพราะทั้ง 7 คนทำ…,0
105,2021-05-12 04:16:07,"RT @ajummabakorea: การย้ายออกจากค่ายที่เป็นตำนาน สถานการณ์ปัจจุบันของก็อตเซเว่นที่เปลี่ยนค่าย from JYP
เจบีที่เซ็นสัญญากับ H1GHR music เป็น…",0
106,2021-05-12 04:16:03,RT @clingyjuly: Changbin jokingly told that jyp cafe has its own rules where you have to sing a song when you want to order. Hongjoong why…,0
107,2021-05-12 04:16:01,RT @MBT4237: ตอนที่วงหมดสัญญาไม่เคยเสียใจเลยที่ GOT7 ออกจาก JYP แต่เสียใจที่ทุกคนต้องแยกย้ายกัน แต่ตอนนี้บอกเลยว่าโอเคมากๆ เพราะทั้ง 7 คนทำ…,0
108,2021-05-12 04:15:58,RT @ATZtransESP: Changbin (de @Stray_Kids) bromeó diciendo que la cafetería de JYP tiene su propia regla en la cual tenés que cantar una ca…,0
