,Tweeted Date,Tweet Description,Popularity Count
49,2021-05-13 16:33:54,"[ VRAC ] - 12.05.21

- IG de Korea Dispatch -

Jinyoung apparait dans le dossier de Dispatch ""Beau avec des lunette… https://t.co/A6ar2B3xJl",22
139,2021-05-13 13:23:50,"จินยองฝากบอกมาค่ะ
#Jinyoung #Parkjinyoung #진영 #박진영
#GOT7 #갓세븐 #IGOT7 #아가새
@GOT7Official 🍑 https://t.co/Czdrk8ReP3",12
79,2021-05-13 15:24:30,"근데 개뜬금없는데
박지호가 박진영 짤 하면 존나 공포스러울거가틈;;
자기야 왜 또 찡얼거려... 반대쪽 이빨도 뽑아줘?",7
74,2021-05-13 15:34:18,"En esta fiesta falta Jinyoung 😣

#Jinyoung #ParkJinYoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official https://t.co/0fWVSgWs4h",6
58,2021-05-13 16:16:29,"@kirby__day 7월 3일
악마판사라는 드라마가 나옵니다..
(타락판사아님!!)
지성 김민정 박규영 그리고..
&lt;&lt; 김가온 역 갓세븐 박진영 많관부 &gt;&gt; https://t.co/AvPr05yZN5",4
4,2021-05-13 21:49:28,"Te extraño

#GOT7 #갓세븐 #Jinyoung #박진영  @GOT7Official https://t.co/VCEo3GSwIU",4
111,2021-05-13 14:27:53,박진영으로 언약식올리고 나도 내가 드러워서 ㅅ바로 종변하고왔을때 https://t.co/Dp2YuLyZ4W,3
129,2021-05-13 13:50:02,"상연오빠왤케웃겨 
오버더레인보우 부르는 박지민 보는 박진영같아
 https://t.co/9h7vJipoPp",2
119,2021-05-13 14:13:46,"제와피 버블에 대한 얕생
혹시나 못생기고늙은박진영이 버블을 한다면 버블포제와피로 올텐데
나는 버블 닉네임 누나로 해뒀는데
아티스트별로 닉네임 따로 설정 안되잖아
...
...
싫다",2
54,2021-05-13 16:27:02,@Ineedyou_lucius 어디보자... 허버... 남... 친... 박진영... https://t.co/2829si92lI,2
67,2021-05-13 15:52:54,คิดถึงมากๆเลยนะ ไม่คิดถึงกันบ้างเหรออออ 😂😂 ถ่ายละครเสร็จหรือยังเอ่ย ยังไงก็ต้องพักผ่อนด้วยนะค้าบน้องจินยอง รักษาสุข… https://t.co/ZnGMbMUg4i,1
28,2021-05-13 17:50:32,"@MarkJinLoveLoop I like it, although Mark is a little better in my opinion? Maybe it's a matter of the colors in th… https://t.co/BwmIXe9jhH",1
59,2021-05-13 16:14:34,갑자기 틱톡 박진영 또 생각나서 피식피식 웃게되네,1
34,2021-05-13 17:16:30,"@KimLp_1 제앞이있는이사람
라펜ㅇ님이아니라
박진영이네요
꿈이고 싶다.",1
106,2021-05-13 14:34:09,있지는 박진영한테 과분하다,1
122,2021-05-13 14:05:09,@Tomoemoe_ 저장은 어쩌다가 하게 된거야 도대체 그런건 박진영이 돈주고 매수한거?,1
131,2021-05-13 13:45:01,박진영도 곧 버블 시작할것같다는 궁예를.. 합리적 의심이라고 생각하기 싫다 뇌의 움직임을 멈추고싶다,1
60,2021-05-13 16:06:59,박진영 엔딩요정 표정 킹받음 진짜,1
82,2021-05-13 15:21:24,박진영 버블 해라 사장님들 버블 플로우야 무드 잘타라 https://t.co/okQPGeTIYa,1
68,2021-05-13 15:44:27,@yym8931 엘리베이터..박진영꺼는 섹쉬였는데...,1
114,2021-05-13 14:23:50,아 박진영 진심으로 부러워하는중일듯 https://t.co/PIsGbONuhg,1
71,2021-05-13 15:40:28,짜증나노 십샊끼들 너말이야 너 박진영 너!!!! 일본부 느그들도 🔪💢,1
72,2021-05-13 15:40:17,พิคิดถึงน้องจินยองนะครับ #Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official https://t.co/xuNvRi2mp8,1
81,2021-05-13 15:21:42,박진영 버블 적극 지원합니다,1
115,2021-05-13 14:23:47,@BABAKUN9 죤나웃기네 아 쟤 개웃기네 ㅋㅋ하다가 2부들어가면서 아니 쟤 찐사랑이네 아니 쟤 진심으로 누구보다 친구들 사랑하네 존나된사람이네 -&gt;감상 이걸로 바뀐순간부터 저거 박진영짤처럼 fud노예됐거… https://t.co/VkcQj2QL5D,1
98,2021-05-13 14:50:59,"RT @SoS_ForMarkJin: Apple start with A
Banana start with B
Cat start with C 
Duck start with D
Egg start with E...
But why does my ""Happine…",0
100,2021-05-13 14:46:36,스키즈 신메뉴 마라맛 이런거 또 가지고오기 만해봐.. 팬들 니즈 파악을 그렇게 못해? 박진영은 스키즈 그만 손놓고있고 빨리 외국에서 비싼 곡 사오라고,0
99,2021-05-13 14:49:16,"RT @SBSNOW: [라우드 캐릭터 영상]
오디션 베테랑 JYP &amp; 생초짜 PSY 
삐걱대는 첫 시작?

SBS &lt;LOUD: 라우드&gt;
☞ 6월 5일 토요일 밤 9시 첫 방송!

#LOUD #라우드 #JYP #PSY #박진영 #싸이
#라우드 #캐릭터…",0
101,2021-05-13 14:45:13,"박진영, 2분의 1 극찬 ""복잡한 화성 넣어도 음이 안 흔...",0
102,2021-05-13 14:45:00,"지금 문득 드는 생각...
어떻게든 박진영을 만나서 칼로 딱 더도말고 덜도말고 다섯번만 쑤시고싶은 

 https://t.co/7r2Vp9zoQE",0
103,2021-05-13 14:38:59,"진심... ... 박진영(JYP) 버블 생기는 생각 ㄷㄷ
끔찍해",0
104,2021-05-13 14:36:38,"RT @icecreamtip: ปิดโหวด 09:00 น. วันนี้ อย่าลืมไปโหวดให้จินยองกันค่ะ😊🍑
#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official",0
94,2021-05-13 14:59:36,"RT @NeunG_G2534: จินยองฝากบอกมาค่ะ
#Jinyoung #Parkjinyoung #진영 #박진영
#GOT7 #갓세븐 #IGOT7 #아가새
@GOT7Official 🍑 https://t.co/Czdrk8ReP3",0
97,2021-05-13 14:53:35,"RT @wjiaerlook: two sibling going to jail party 🥺🔫

#옥택연 #Taecyeon #oktaecyeon #Vincenzo #박진영 #Jinyoung  #WhenMyLoveBlooms

  Jang Han-seok…",0
96,2021-05-13 14:56:43,마흔님 박진영 참 좋아하시나봐 https://t.co/bfXIkB7rc2,0
95,2021-05-13 14:58:12,จะมีไหมที่วันหนึ่งเมนจะมาไลค์ในห้องนอนบ้างไรบ้าง แบบให้หัวใจอุนแม่ชุ่มช่ำกระชุ่มกระชวยกับเค้าบ้าง ได้แต่อธิฐาน...🍑🙏… https://t.co/21n2BAqsoa,0
93,2021-05-13 15:00:30,"RT @Ribbin457: จะมีไหมที่วันหนึ่งเมนจะมาไลค์ในห้องนอนบ้างไรบ้าง แบบให้หัวใจอุนแม่ชุ่มช่ำกระชุ่มกระชวยกับเค้าบ้าง ได้แต่อธิฐาน...🍑🙏☺

#คิดถึ…",0
