,Tweeted Date,Tweet Description,Popularity Count
96,2021-05-10 17:54:35,"Oh my god , I can't . What is this
It's so funny 😂😂😂😂
Jinyoung needs to go to Hollywood asap.
#Jinyoung #진영 #박진영… https://t.co/mGDYy33kln",7
98,2021-05-10 17:53:33,"Jinyoung iron man😱😱😱
#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official https://t.co/KkME22vx73",5
95,2021-05-10 17:56:10,"My Spiderman jinyoung is so perfect.
I'm in love... Again
#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official https://t.co/8ac72PJQJZ",4
101,2021-05-10 17:45:50,아 히발 박진영 올렸더니 썰렸다 죄송합니다,4
59,2021-05-10 19:12:51,"Jinyoung did that❤️😍
#Jinyoung #진영 #박진영 #朴珍榮 #녕긔탱긔  #GOT7 #갓세븐 @GOT7Official 

  https://t.co/H64DdFuo92",3
99,2021-05-10 17:50:22,"그거 알아요?
박진영이 파티피플 찍었을때 
비 워언에이~포 촬영 중이 팬이 들고 있는 진~영아사랑해 플카 보고 흐뭇하게 쳐다봤음
그거 니 아니라고",3
18,2021-05-10 23:22:59,"저 사실 박진영 노래 듣습니다
제왑삐.",3
14,2021-05-10 23:27:50,"무슨생각해?
박진영니코칶깨무는생각",2
48,2021-05-10 20:52:51,나 로블록스로 박진영 선배님 처럼 꾸몄습니다. https://t.co/3pkV3NhNIr,2
9,2021-05-10 23:32:30,"- GooD MorNing - ☀☀

#MarkTuan #段宜恩 #마크 @marktuan 
#Jaebeom #JB #제이비 @JAYBDEF___    
#JacksonWang #잭슨… https://t.co/pUePZbr9IW",2
127,2021-05-10 16:44:59,@Review_Of_Today 박진영같어 으,1
103,2021-05-10 17:42:49,3시에 안자면 난진짜 박진영의발닦개가되겠다,1
138,2021-05-10 16:13:15,"내가 유사를 안먹는 사람은 누굴까
박진영?
당연하죠 너 어디 아프냐",1
21,2021-05-10 23:11:01,그런데 박진영이 온다? 이건 내가 멱살잡는거죠 https://t.co/jcT9TqIXUR,1
13,2021-05-10 23:28:38,박진영 니터트리는생각 https://t.co/k6xssTvHeG,1
90,2021-05-10 18:03:49,"@fatemeh7for7 @GOT7Official *dies dramatically* savy?

#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official",1
89,2021-05-10 18:04:43,"@fatemeh7for7 @GOT7Official WHAT THE-

#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official",1
88,2021-05-10 18:05:24,"@fatemeh7for7 @GOT7Official And I..... Am..... Iron Peach🍑 *snaps*

#Jinyoung #진영 #박진영 #GOT7 #갓세븐 @GOT7Official",1
128,2021-05-10 16:44:39,박진영 내가 와플기계에 넣음,1
104,2021-05-10 17:42:41,탐라에그냥박진영뿌리기 https://t.co/mNCJ2fwcvK,0
102,2021-05-10 17:43:31,RT @reasonforgot7: 박진영💚홈런볼 https://t.co/5q2jOdbWKe,0
105,2021-05-10 17:42:08,그거 박진영 중성화 짤이 잇어요,0
100,2021-05-10 17:50:11,"RT @screensevens: #JINYOUNG; bc it's been a long time since the last jy lockscreen ✨
 
(ps. admins are extra busy today 😭)

⚠️ please do cr…",0
106,2021-05-10 17:40:42,"RT @JuneJune770: แพ้พี่เสือลุคนี้จัง​ ไม่แผ่วเลย
#Jinyoung #GOT7 #IGOT7
@GOT7Official #จินยอง #박진영 https://t.co/EPtvHZyvJQ",0
107,2021-05-10 17:40:28,"ITZY 류진, ＂박진영 칭찬 많이 받아..딸 있으셔서 엄격 보다는 칭찬＂('최파타') (출처 : OSEN | 네이버 TV연예) https://t.co/1xQTpzUycA @ITZYofficial",0
108,2021-05-10 17:40:07,"있지 류진 “박진영 PD, 녹음 때 칭찬 많이 해줘”(최파타) (출처 : 뉴스엔 | 네이버 TV연예) https://t.co/Zai4T6yjWN @ITZYofficial",0
109,2021-05-10 17:36:36,"RT @screensevens: #JINYOUNG; bc it's been a long time since the last jy lockscreen ✨
 
(ps. admins are extra busy today 😭)

⚠️ please do cr…",0
110,2021-05-10 17:35:58,"RT @screensevens: #JINYOUNG; bc it's been a long time since the last jy lockscreen ✨
 
(ps. admins are extra busy today 😭)

⚠️ please do cr…",0
0,2021-05-10 23:49:59,@_02M0 그럴 수도.. 그치만 박진영 얘기 팬싸에서 하면 진짜 저 큰일 날 거 같애요 환님이 저 블리 먹는 거 책임져주세요.. ㅋㅋ ㅠ,0
