,Tweeted Date,Tweet Description,Popularity Count
0,2021-05-20,"TWICE ツウィ、JYPの副社長になる可能性も！？「突然ですが占ってもいいですか？」で星ひとみの分析に驚き
https://t.co/Q7kHkOzMuV

#TWICE #突然ですが占ってもいいですか",1704
1,2021-05-21,"GOT7’s Jay B Reveals How He Felt When Leaving JYP Entertainment And The Talk He Had With The Members

https://t.co/bnFuw60Xvk",398
2,2021-05-19,[Dream High] JYP teaches the entrance class students how to sing and dance in an attempt to produce a successful sh… https://t.co/qNokgjp28u,279
98,2021-05-19,"스테이씨는 JYP 노래스타일이랑 잘 어울림 
ㄴ당연함 JYP 여돌 노래 좋은거 다 블아필이 만듬 https://t.co/9xKN6DruP0",37
144,2021-05-19,"イケメンすぎて笑うしかできねえ、JYPだろ

#福田歩汰 https://t.co/9GQ3I67fqZ",13
77,2021-05-19,"i just think jyp should let them do a fresh concept, i mean look at them 
https://t.co/g58NI6SUO0",5
84,2021-05-19,"@tzuyumomo1117 いえいえ🙌🏻
こちらこそ、キングダムでは沢山力を貸していただきありがとうございました🥲🤍
TWICEちゃんだけでなくjypファミリー総動員で頑張りたいですね✊🏻",5
45,2021-05-19,"Bringing back this damn Minatozaki Sana ,this is illegal ma'am🥵🔥

#TWICE #ONCE #DAHYUN #JIHYO #JEONGYEON #NAYEON… https://t.co/ySAYyPP3he",4
61,2021-05-19,"#JYP ดำเนินการทางกฎหมายต่อการบุกรุกพื้นที่ความเป็นส่วนตัวของ #StrayKids' https://t.co/CcymJnFgvf

#StrayKids… https://t.co/rApLcl7waN",4
40,2021-05-19,@willalwaySTAY Şey aslında Twice'ın Japon aktivitlerini Jyp yönetmiyor başka bir Japon şirket var ayrıca zaten hep… https://t.co/n8skD8ppcS,4
121,2021-05-19,"JYP Entertainment ดำเนินการทางกฎหมายอย่างเป็นทางการกับสตอล์กเกอร์ของ Stray Kids
https://t.co/JR0FS7DED5

#StrayKids… https://t.co/W0hjqR2O0z",3
96,2021-05-19,i cant still believe that jyp really drop that japan album without releasing the sk comeback teasers first,3
107,2021-05-19,vi Fever nos trendings e achei que tavam falando do jyp oppar,2
44,2021-05-19,@HYBE_Japan_twt @RVGT92 @Ilovenayeon6 @theshadypinks lol at least we don't disappoint our faves by not streaming an… https://t.co/4BYnsPOHBi,2
104,2021-05-19,@strberryjun Imagina se for o jyp😸,2
21,2021-05-19,@SKZTeamTurkey 10 haziran hyunjin mi dönüyor açıklama yaptı jyp deniliyor?,2
105,2021-05-19,@nayli_2006 @GFRDofficial HDello @nayli_2006  when jyp entertainment announced that Got7 would be leaving. they're… https://t.co/rFq6X2hzDg,2
125,2021-05-19,"家族写真見て可愛くて泣いてる。
JYPカフェもいいけどJYP nation見たいな。
とゆかガッセもいる時に見たかったな😢 https://t.co/1ObyKS1f6G",1
46,2021-05-19,"@ki_nakomotchimo 今まで鬱になりそうなくらい見てたんですけどね…
JYPも恐ろしいことしてきますよ笑笑",1
108,2021-05-19,"하지마 ㅅㅂ 

 https://t.co/7KaVflR0ox",1
62,2021-05-19,"우리 트윙클이랑 여자취향 너무 ...  비슷
륮땡♡을 jyp걸그룹 단발 걔가 아니라 신류진이라고 얘기하는 사람 첨봄
나 인장 류진이임 😋",1
143,2021-05-19,pq jyp ils se sentent obliger de sortir une version en anglais à chaque son de itzy wsh jui dsl ms in the morning e… https://t.co/snOxnTzLxA,1
33,2021-05-19,"Essa semana foi um desastre, e tudo só começou a dar errado depois do hiatos do hyun, então automaticamente é tudo… https://t.co/tzv4kssMte",1
132,2021-05-19,MALAPIT NA MATAPOS 24 HOURS HSHAHAHHAHA MATATANGGAL KO NA TONG TAE NA BLUE DN AT JYP OPPAR ICON,1
120,2021-05-19,"JYP Entertainment ได้ดำเนินการทางกฎหมายอย่างเป็นทางการในนามของ Stray Kids

ในป้ายประกาศดังกล่าว ได้เตือนเหล่าสตอล์ก… https://t.co/nchgT2TGs0",1
100,2021-05-19,"RT @JYPE_JAPAN: “JYP JAPAN ONLINE STORE”
“JYP JAPAN POPUP STORE 2021”
“JYP JAPAN POPUP CAFE 2021”

Coming Soon

https://t.co/hlgR8OaeVL

#J…",0
99,2021-05-19,"RT @JYPE_TRAINEES: 051721 | According to Hana Financial Investment Analyst, Lee Ki-hoon, these are the tentative years when JYP rookie grou…",0
103,2021-05-19,RT @theeracarbon: จุนเค 2PM / TWICE / แบมแบม GOT7 : ดู KINGDOM support Stray Kids !!!,0
97,2021-05-19,RT @soompi: #JYP Takes Legal Action Against Invasion Of #StrayKids' Privacy https://t.co/2kgl4YmvHC https://t.co/B9pWYdIGyI,0
145,2021-05-19,RT @dkrltmxkwjd: Jaebum bilang: once you got out from here (JYP) your job as a leader will become more difficult. And he said yes,0
101,2021-05-19,RT @puttara_: อิเรื่องทุกวงเริ่มจาก0นี่น่ารำคาญอยู่นะ แกยอมรับเถอะว่าแกติ่งค่ายใหญ่แกไม่เข้าใจหรอกจริงๆ มาลองติ่งค่ายเล็กดูดิ วงดีชิบหายควร…,0
102,2021-05-19,RT @soompi: #JYP Takes Legal Action Against Invasion Of #StrayKids' Privacy https://t.co/2kgl4YmvHC https://t.co/B9pWYdIGyI,0
106,2021-05-19,RT @envi_avatar: วินาทีที่หมดเวลาราชการ เขาคือนักธุรกิจ ไม่ใช่ทหารออกต่อไปแล้ว https://t.co/hlEvOqikVf,0
141,2021-05-19,"RT @JYPE_TRAINEES: 051721 | According to Hana Financial Investment Analyst, Lee Ki-hoon, these are the tentative years when JYP rookie grou…",0
94,2021-05-19,"RT @followjyp: [티저] JYP &amp; PSY (a.k.a JYPSY)가 반한 소년들의 등장! ＜JYPSY의 BOY＞ 대공개

출처 : LOUD
https://t.co/uYGMx5Zej6

#JYPark #박진영 
#LOUD #라우드",0
93,2021-05-19,RT @soompi: #JYP Takes Legal Action Against Invasion Of #StrayKids' Privacy https://t.co/2kgl4YmvHC https://t.co/B9pWYdIGyI,0
92,2021-05-19,RT @_eyungwa: สรุปแค่อยากทำบุญไปวันๆ ไม่สนโครงสร้างทางสังคม. ถ้าโครงสร้างดี. คุณพรี่คงไม่ต้องควักเงินทำบุญบ่อยขนาดนี้หรอกค่ะ. ชาวบ้านตาสีตา…,0
91,2021-05-19,u old ass hag jyp bring him back,0
