,Tweeted Date,Tweet Description,Popularity Count
0,2021-05-20,"NiziU
2nd Single 
『Take a picture／Poppin’ Shakin’』

「Take a picture」MV Making Movie🎞
https://t.co/D4Qc5bfMci… https://t.co/Oh5arliws9",23964
1,2021-05-21,"みなさん‼️ 
「NiziU Scout Behind The Scenes #1」 
楽しんでいただけましたか⁉️

#NiziU_Scout 本編では見られなかった
撮影裏側での #NiziU のいろんな魅力が
届いていたら嬉… https://t.co/KfnbhKNPez",10864
2,2021-05-21,"／
本日20:00～は
「NiziU Scout Behind The Scenes #1」を配信📲
＼

#NiziU_Scout #4 を楽しみにしてくださった #WithU のみなさん‼️
本日は#4の配信の前に☝️
Niz… https://t.co/zaMMtHqcXM",7136
44,2021-05-20,"供給きたぁぁぁぁぁ！！！
NiziU『Take a picture 』MV Making Movie https://t.co/ML2Tl3geGF @YouTubeより",22
114,2021-05-20,"《#NiziU_QUIZ》
タキシードチャンス！③

正解は、実は「抹茶大福」でしたが、誰もいないので、2番目に食べた「宇治抹茶ケーキ」を正解とします。ww

正解者（敬称略）
nozomii、厚揚げ、J、NiziUマユカ推し、桜… https://t.co/TSN3igJ9wk",17
28,2021-05-20,"なるほど。

#NiziU #WithU #ニジュー #니쥬
#WithUhandsign
#Take_a_picture

NiziU『Take a picture 』MV Making Movie… https://t.co/gdus8jOV7M",16
63,2021-05-20,"テクピクのメイキング来てます！！
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
 #NiziU
 #NiziUの日 https://t.co/X4whJy62V3",10
40,2021-05-20,あとNiziU人は100人単位でやろw https://t.co/oYLow20QQr,10
91,2021-05-20,NiziUのTake a pictureメイキング来た〜😆😆,9
82,2021-05-20,今日NiziUの公式LINEスタンプが発売したので、さっそく保有コイン100必要なので250円課金してダウンロード完了❗️ https://t.co/MfIAu1j3Tb,8
103,2021-05-20,"スタンプかわいすぎ🌈
LINEスタンプって画質的にあたりはずれあるように思ったけど、NiziUはいい感じ❣️

#Take_a_picture #Poppin_Shakin #NiziU https://t.co/Jsxq5aPBM4",8
35,2021-05-20,NiziU『Take a picture 』MV Making Movie https://t.co/74CuJBGE1o @YouTubeより #NiziU https://t.co/4PwZjJzgKf,8
21,2021-05-20,SHE IS THE MOMENT! 😭😭😭💙💙💙💙💙💙💙💙💙💙✨✨👑 https://t.co/VhJlOiop5x,6
94,2021-05-20,"ニナﾁｬﾝ…ほんとに…君は…
私と同い年なのかい…⁇⁇🙃
いやまじでなんだこの存在感と大物感… https://t.co/DKWlyGoc2Z",6
122,2021-05-20,運営「もうスタンプの情報出したじゃん」,6
26,2021-05-20,"ｷﾀ━(ﾟ∀ﾟ)━( ﾟ∀)━( 　ﾟ)━(　　)━!!!!!

NiziU『Take a picture 』MV Making Movie https://t.co/YEkQCCJEHm",5
53,2021-05-20,"🌈来たよ
#NiziU #Poppin_Shakin #Take_a_picture
https://t.co/DUMv6M6Atu",5
52,2021-05-20,"無駄に使いたくて仕方ない。
お友達いないから一人で楽しむ😂
#NiziU
#マユカ https://t.co/yCcCPROkOw",5
41,2021-05-20,"NiziU『Take a picture 』MV Making Movie https://t.co/XI3B2GqBGt @YouTubeより

きたぁ！！！❤❤❤❤❤❤",5
83,2021-05-20,"きたああああああああ
#NiziU
#NiziUの日
#Take_a_picture https://t.co/IbuJO8kGxa",4
119,2021-05-20,"せっかくなので、スタンプで遊ぶ😊

#NiziU #ニジュー #니쥬 #WithU #Take_a_picture  #Poppin_Shakin https://t.co/8kLu5UE8D6",4
18,2021-05-20,"TikTokのネコのやつ
リオちゃんとニナちゃん犬顔なのに
ネコの動きしてるのかわいすぎて脳の処理が追いつかないバグるww
あーかわいいฅ▽・ᴥ・▽ฅ",3
110,2021-05-20,フレームかわよ,3
145,2021-05-20,NiziUの供給はいつも数分遅れだから大丈夫,3
142,2021-05-20,"NiziU、LINEスタンプだぁぁぁ‼️♥️💕♥️(買えない)

#NiziU #WithU https://t.co/RX3pwK6NTZ",3
115,2021-05-20,"【注意喚起】

こちらの方と同一人物です。
ブロックして逃げられました。
気をつけてください。
詐欺された方多数いらっしゃいます。
取引無責任すぎて嘘しかつきません🤯

@mnmnmnmnmnmbmg… https://t.co/QnEYGSbYJ7",3
108,2021-05-20,"NiziU『Take a picture 』MV Making Movie https://t.co/gJwDKV3ogI @YouTubeより
メイキングきたー！！！！！",3
130,2021-05-20,20時にLINEスタンプ発表にすればよかったのに😉,3
60,2021-05-20,WithUMOBILEのゲーム変わった！！ https://t.co/R20hih8B6Q,3
133,2021-05-20,"ニナやん🐶💙
WithUとフーディがお揃いで
嬉し〜🤍🤍🤍
#NiziU #WithU #Take_a_picture https://t.co/ZWKbwGCaui",2
148,2021-05-20,え？なんも来ないやん,2
97,2021-05-20,"NiziU『Take a picture 』MV Making Movie https://t.co/mFEUp9f2A1 @YouTubeより
20:00これか🥺🥺🥺💗",2
56,2021-05-20,NiziU『Take a picture 』MV Making Movie https://t.co/ndghzBqHGJ @YouTubeより,2
77,2021-05-20,"メイキング来たー🧡
#NiziU #Take_a_picture 
NiziU『Take a picture 』MV Making Movie https://t.co/h7Xo11wjis @YouTubeより",2
112,2021-05-20,今日は無し…？？,2
109,2021-05-20,NiziUの日の供給ってもしかしてスタンプ？？,2
126,2021-05-20,@ogoumayukasama_ @wattan_NiziU 右がゼン神で左がわた神か...どうりで遊んでるなと思った,2
75,2021-05-20,"20時ですけど😓
#Poppin_Shakin 
#Take_a_picture https://t.co/ldO6EhZAtz",2
36,2021-05-20,母親幅広二重だからアイシャドウ縦にグラデーションしてるのまじ腹立つ😤😤😤😤😤,2
25,2021-05-20,"来てた
NiziU『Take a picture 』MV Making Movie https://t.co/8o9Bv99QLz",2
20,2021-05-20,"@niziu_moon 素敵なソンムル企画ありがとうございます😭
めちゃくちゃ嬉しすぎ案件です🌷
是非参加させて頂きます✨
主様とご縁がありますように…
よろしくお願いいたします🙇‍♀️💦",1
80,2021-05-20,え゛ https://t.co/WGu0Nd2vca,1
128,2021-05-20,Hii!! Looking for more once/WithU Mutuals!! I'm also an ENGENE!! #FindingMyMoots #ENHYPEN #NiziU #TWICE,1
