,Tweeted Date,Tweet Description,Popularity Count
0,2021-05-09 04:18:55,"비 맞으면 나처럼 머리가 부푼다^^

(2Z youtube All i need Rain live)

https://t.co/Fb7x026iiz https://t.co/M8dCnt0n88",652
71,2021-05-08 14:36:18,"“이렇게 가끔은 멈춰가도 돼
쉬어도 돼
마음에 비가 내려도
When this rain stops
그냥 다시 웃으면 돼”

“You can stop sometimes like this,
You can rest… https://t.co/udVAU51MxC",16
45,2021-05-08 21:06:51,5/9 RAIN(ピ)LOVE2 Blog記事「Forbes Power Celebrity その2」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ　https://t.co/xsg9CHr4cL,13
99,2021-05-08 09:43:51,"“아니, 누나!” 카메라 앞에서 가식적(?)이라는 김태희 말에 비가 보인 ‘현실부부 찐반응’

❤누나❤라는 말에 설렌 건 저 뿐인가요...? 😍
#김태희 #비

https://t.co/7gf7TO8fUp",4
14,2021-05-14 21:25:26,"🍁🌾🌧️
비가 올 수 있습니다 
#비 #rain #may",3
77,2021-05-08 13:28:01,"오늘은 좋은 날이다..비를 듣는 것은 항상 좋다
It is always good to hear ..Rain❣ https://t.co/5tgKJeTKAM",3
23,2021-05-09 03:19:42,#kyo301 #母の日 #MothersDay #世界中のお母さんありがとう🎉💐🎉 #キムテヒ #Rain #정지훈 #チョンジフン #rain #jungjihoon #鄭智薫 #비 #ピ #雨 #love #follow… https://t.co/JlgrOiBKVG,2
44,2021-05-08 21:19:00,"today at 3 am talks, lets talk how joon went ""as one lives, one may receive a B, that's right. hey, it can happen t… https://t.co/ICkCFWb5NH",2
83,2021-05-08 12:59:21,"The Album title is ""Waterfall"" And ""RAIN"" is consider as a waterfall. In hangul rain is 비 or ""bi"" ☺ hanbin is a genius😱😅",2
85,2021-05-08 12:16:02,@humwhoru @_rain_rain__ 머리 위에 비님을 서른 개 얹은 해물아찌요 https://t.co/KJXyETFnlf,2
86,2021-05-08 11:51:41,"RAIN&amp;キム・テヒ夫妻が素敵すぎてこっちまで笑顔になる☺️
キム・テヒ可愛すぎるし、RAINさんカッコよすぎるし、美男美女やな～😚
#RAIN #비 #ピ #キム・テヒ #김태희
 #KimTaeHee https://t.co/jfBUAKsiTY",2
112,2021-05-08 07:41:51,"อาการมันเป็นยังไงค่ะ😌☺️
กว่าจะได้เห็นอะไรแบบนี้ต้องรอกันหลายปี จนมีลูกแล้ว2คน ถึงยอมเปิดเผยและรับงานคู่กัน 😍… https://t.co/6F8SOP6sEt",2
89,2021-05-08 11:01:19,[MV] ZICO(지코) _ Summer Hate (Feat. Rain(비)) https://t.co/p1LtIjkho3 @YouTubeより,1
108,2021-05-08 08:08:05,"อยู่ด้วยกันคงจะยิ้มและหัวเราะได้ทั้งวัน
ขี้เล่นกันจริงๆ น่ารักมาก☺️😍😘

#BODYFRIEND #바디프랜드
#KimTaeHee #Rain #김태희 #비… https://t.co/FN5sGy1XwQ",1
