,Tweeted Date,Tweet Description,Popularity Count
61,2021-05-13 12:07:38,정지훈뭐하냐고ㅋㅋㅋㅋㅋㅋ https://t.co/YwJ1m8PdE0,27
147,2021-05-10 21:12:39,5/11 RAIN(ピ)LOVE2 Blog記事「Forbes Power Celebrity その4」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ https://t.co/XoYkW5VbEF,15
114,2021-05-12 09:40:43,"📣 Rain's birthday is coming up in June! We're planning on doing an event for him as always. ❤️

Please message us f… https://t.co/ZuvA5fLbsw",15
93,2021-05-12 21:05:48,5/13 RAIN(ピ)LOVE2 Blog記事「Season B Season EP.33その4」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ　https://t.co/eKMcsfMlV5,14
64,2021-05-13 11:07:19,"&lt;Season B Season&gt; Rain’s New Vlog post is now up on his YT channel! 🥰

Link: https://t.co/D0QgXI0JPl

#비 #rain #정지훈… https://t.co/RdJjm2BHzx",13
54,2021-05-13 14:00:32,"#시즌비시즌#Season B Season#정지훈#비#Rain#⚠넷이 합쳐 5천만 VIEW⚠ 노래로 힙한 분들 쓸어왔습니다🥃🎵 (feat. 이무진, 윤딴딴, 최진솔, 연경이) l 시즌비시즌 e...… https://t.co/6SCIAdaHtf",13
9,2021-05-14 14:46:54,"🎶 I Think I love you 🎶

📺 Full house 

#비 #rain #정지훈 #jungjihoon #fullhouse #songhyekyo #송혜교 https://t.co/PFzofogAfj",13
78,2021-05-13 05:57:27,"[기사] 2021.5.13 ‘싱어게인’ 이무진, 비 만난다…‘ #시즌비시즌 ’ 출격

✨콘텐트 누적 조회수 1억 회를 돌파👍
(출처 : 뉴스엔 | 네이버 TV연예) https://t.co/4tApOedaIQ… https://t.co/6vcZoa5Ie9",12
77,2021-05-13 06:10:15,"&lt;Season B Season&gt; 
Sing Again ‘Lee Moo Jin’ meets Rain! 

For tonight’s episode, they recently invited talented mus… https://t.co/QKttF0p0Kn",11
126,2021-05-11 17:17:10,5/12 RAIN(ピ)LOVE2 Blog記事「Season B Season EP.33その3」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ https://t.co/qnYopNcQat,10
37,2021-05-13 22:27:02,#kyo301 #GoodMorning🌞☕️🌈 #Rain #정지훈 #チョンジフン #rain #jungjihoon #鄭智薫 #비 #ピ #雨 #love #follow #followme #home #japan… https://t.co/CANJ91XwfY,9
40,2021-05-13 20:20:54,5/14 RAIN(ピ)LOVE2 Blog記事「Season B Season EP.35」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ https://t.co/WvMXl8TrZ7,9
32,2021-05-14 03:54:57,"기태의 열정을 믿자니 미르가 걱정되고
정지훈의 재능을 믿자니 오묘목과 한팀인게 걱정된다.
너무 어렵잖아요.. 누구팀을 뽑으라는 겁니까 한화생명씨..",8
121,2021-05-12 00:10:47,#kyo301 #GoodMorning🌞🌈☕️ #コロナ #コロナ予防 #コロナに負けるな #コロナ戦争 #自粛してね🙏🙏🙏 #Rain #정지훈 #チョンジフン #rain #jungjihoon #鄭智薫 #비 #ピ… https://t.co/hwxHwTbye6,8
4,2021-05-14 16:52:31,5/15 RAIN(ピ)LOVE2 Blog記事「Season B Season EP.35 その2」 @29rain #정지훈 #비 #jungjihoon #rain  #ピ　https://t.co/sUCyBGnG5c,6
57,2021-05-13 13:18:36,"#repost @studiolululala 
찢었다....
꾸러기들~ 귀호강하는 풀영상은
유튜브 &lt;시즌비시즌&gt;에서 챙겨보긔~☂🌈
.
.
#시즌비시즌 #정지훈 #비 #예능 #노래 #노래커버 #최진솔 #서울예대… https://t.co/hdHDmzg0tX",6
108,2021-05-12 11:50:59,"[#현빈]{Hyunbin} Il fatto che vi stiate godendo ciò che vi ho preparato mi rende felice 😘😘 
Ve ne preparerò ancora, b… https://t.co/qUj6fMichW",4
