,Tweeted Date,Tweet Description
0,2021-04-29,🖤😉 https://t.co/syp6WOzKBU
1,2021-04-22,"RT @jamiestaffsays: 👭제이미, 찬미나가 참여한 Saweetie – Best Friend (feat. Doja Cat, JAMIE, CHANMINA)가 발매되었습니다!👭

🔥Out Now🔥
🎵https://t.co/5gxm4q3ohh…"
2,2021-04-19,"RT @jamiestaffsays: 👭Saweetie – Best Friend (feat. Doja Cat, JAMIE, CHANMINA)👭

🔥 제이미가 참여한 Saweetie – Best Friend (feat. Doja Cat, JAMIE, C…"
3,2021-04-15,🔥 https://t.co/tennSQwtqX
4,2021-04-01,"RT @jamiestaffsays: 👭Saweetie - Best Friend (feat. Doja Cat, Jamie, CHANMINA)👭

🔥New release date coming soon🔥

*음원 발매 일정이 변경되어 자세한 발매일은 추후…"
5,2021-03-25,Yes..... I know🤯🥲🔥 https://t.co/Z2nb80Z9wa
6,2021-03-17,"난 잘지내고 있어요! :) 잠이 아주 많아졌다는거! 잘온다는거! 잘 안듣던 노래도 요즘 많이 듣고, 예전에 봤던 영화도 다시 보면서 잘 지내구 있어요 , 건강해야해 다들! 사룽해🖤🖤 https://t.co/2tl5FcejUq"
7,2021-03-06,@Jae_Day6 ^^
8,2021-03-03,Hehehe
9,2021-03-03,@thedivestudios Hey dive lets go on a date
10,2021-03-03,♡´･ᴗ･`♡
11,2021-02-25,"RT @jamiestaffsays: Joker (Feat. JAMIE) - BIG Naughty (서동현) - 들어보세요.

https://t.co/2t9ySx1gwI

by Melon https://t.co/GYyF6s2p22"
12,2021-02-16,매주 화요일 키스! 팝스! https://t.co/QntlrjGgUJ
13,2021-02-16,왜저래.. https://t.co/9JvtYUyjBS
14,2021-02-08,Heiii👋🏻 https://t.co/sJ8jxnIBg9
15,2021-02-06,@jamiestaffsays Ur late ^_^
16,2021-02-02,RT @dntrunouttaS2: 이마탁탁때리는거ㅋㅋㅋㅋㅋ오늘도 제이미의 웃참으로 끝난 ASMR https://t.co/KCu0StqMqL
17,2021-02-02,이마 아프네...
18,2021-01-29,🖤 https://t.co/IVeQtLrBoq
19,2021-01-27,RT @fifteenandxv: @jiminpark07 https://t.co/5CW0xWe6kt
20,2021-01-27,"RT @arzu_twt: @jiminpark07 hey i did the edit for you too 🥺💚 please notice, you’re the loml  https://t.co/FxJvQIH156"
21,2021-01-27,RT @wonuies: @jiminpark07 heyy bubs i already told u but i thought id let u know again hhh ur name will fly on nasa's next mission to mars…
22,2021-01-27,If you can’t stand a hate for yourself for hating others why hate? There’s an whole video about me talking about ha… https://t.co/aKhVyfIXUR
23,2021-01-27,RT @taemizlik: @jiminpark07 look what i did for you🥺🥺https://t.co/7UzQS6nMfy
24,2021-01-27,[제작비지원] 오마이걸아린x이사배x제이미 #악플 이런 말까지 들어봤다고? https://t.co/SZmn0KLXHZ
25,2021-01-27,If you make babyj’s get worried cause I might see a hate comment about myself and have to make them use their preci… https://t.co/gGtdfbTi0l
26,2021-01-19,"RT @Airbnb: 💄 get ready with @jiminpark07
🔗 https://t.co/gj9GZKQK45

#제이미 🧡 https://t.co/gklZaNM2p4"
27,2021-01-19,Yes we’re doing makeup https://t.co/7XKNVWnijb
28,2021-01-04,Jemora💋 https://t.co/iYITO7AJdJ
29,2021-01-01,"RT @jamiestaffsays: 1. Happy New Years Eve 
#JAMIE #JAMIEPARK #제이미 https://t.co/h61jdOPnYH"
30,2021-01-01,2021/1/1
31,2020-12-28,❤️❤️ https://t.co/ErH6hkLTE3
32,2020-12-27,RT @kr_now: #크리스마스 파티 in #지오디 #점심어택 방송 내내 찐 친구케미로😹 서로를 향해 말을 아끼지 않았던 #제이미 #가호 집에 갈 땐 사이좋게 갔다고 합니다😉 앞으로도 멋진 음악작업 기대할게요👏🏻🎹 녹음하다 싸우지말구.. #NOW온…
33,2020-12-26,🤍 https://t.co/US5FZFoDXz
34,2020-12-24,@jamieloops_ Nooooo everyone’s just tall 🥸
35,2020-12-24,"RT @jamiestaffsays: 8. 오늘도 이쁜 @jiminpark07 보고 행복한 하루 되세요!
#JAMIE #JAMIEPARK #제이미 https://t.co/Cp4YNtXs6K"
36,2020-12-24,🙏🏻❤️고마워요! Merry Christmas! https://t.co/ynm4O7HBLl
37,2020-12-24,"RT @7OC_official: [#훈노래방]

오늘 들려드릴 노래는 제가 요새 즐겨듣는 #JAMIE 선배님의 #5가지_Christmas 입니다! 너무 신나고 들으면 들을수록 행복해지더라구요☺️
로즈들 Merry Christmas🎁🎄🎅

#세븐어클락…"
38,2020-12-23,@jamiestaffsays 네🥸🥸
39,2020-12-23,"RT @jamiestaffsays: 9. 놀랬죠?!
#JAMIE #JAMIEPARK #제이미 https://t.co/qw9lzTWqSI"
40,2020-12-22,https://t.co/tZfR2GOfAa live collab with pete🥸
41,2020-12-22,"RT @jamiestaffsays: 10. 진짜 이유 없어요! 그냥 이뻐서요!
#JAMIE #JAMIEPARK #제이미 https://t.co/tg82L6meND"
42,2020-12-22,Now THIS was something https://t.co/OmL9bf53r7
43,2020-12-22,❤️🥰💋🥸 https://t.co/dhGfvun3xf
44,2020-12-19,@jamiestaffsays Why are we sorry
45,2020-12-19,"RT @KAVECON: D-DAY! 
&lt;JAMIE'S COZY C❄NCERT&gt;
LIVE 2020.12.19 SAT 10PM KST

#Jamie 's concert will start in about an hour!
If you haven't got…"
46,2020-12-15,❤️❤️🙏🏻 https://t.co/p8y7yioWv2
47,2020-12-15,🦋🦋 whaaaaaaaaat thisss sattt🦋🦋 https://t.co/LRcfIwBZuf
48,2020-12-14,❤️❤️❤️ https://t.co/LhfucxKHFp
49,2020-12-13,내 인생에 안무 영상이라는게 올라오다니..... https://t.co/eGzjdB77lU
50,2020-12-13,19일에 보자궁🥺 https://t.co/3LxXMoA5cu
51,2020-12-10,🥰 https://t.co/1Yk9CC3cXk
52,2020-12-10,Concert???????🤭 YES CONCERTTT https://t.co/ljgazV4Rjs
53,2020-12-09,🧐 https://t.co/bDelWyH5ga
54,2020-12-09,💋💋💋 https://t.co/2Fx3jzdS0s
55,2020-12-09,https://t.co/qQJjUtc8Wd WHATS URS BABYJ🤓
56,2020-12-08,What am I looking at tho. https://t.co/km8rbngb4h
57,2020-12-08,SEE U TMMR❤️ https://t.co/cUvxmsQSJX
58,2020-12-07,🤭🤭❤️ https://t.co/TDouqQgGZa
59,2020-12-06,https://t.co/VRaJxcCfSy HURRYYY🙏🏻❤️
60,2020-12-04,❄️❄️❄️
61,2020-12-03,Oh wow @justinohmusic OUR SONG IS THERE🙏🏻🥺!!! https://t.co/4mablZXjWg
62,2020-12-02,@crystalbell ❤️❤️
63,2020-12-02,@KianaLede I love your story and your voice 🙏🏻🙏🏻🙏🏻❤️❤️
64,2020-12-02,🙏🏻🥺 https://t.co/za5iozExz7
65,2020-12-02,But I’m going to dance if YOU DANCE WITH ME
66,2020-12-02,But at the same time it doesn’t mean I can dance 😗
67,2020-12-02,"I’d love to see ur moves, cause I’m ready to show mine. https://t.co/Rtip7Q7chA"
68,2020-12-02,2020 MASHUP🖤 Jamie ver. https://t.co/QhpoIQrFzE
69,2020-11-30,2020.12.19 https://t.co/WWzJXazjwm
70,2020-11-26,https://t.co/WJ8602xYj3 making film🙏🏻
71,2020-11-23,https://t.co/XVi3ZQrH7w @ArianaGrande  I love you🤍🤧
72,2020-11-18,https://t.co/Z0RBoeAcZV BAND VERSION❤️
73,2020-11-16,https://t.co/xlQgAwJJku I wish
74,2020-11-16,🤧🥺 https://t.co/JR8nePqTdK
75,2020-11-13,🙏🏻😌 https://t.co/BCWysCKimL
76,2020-11-12,고마워
77,2020-11-11,"RT @gems_genie: [음악의 색을 플레이하다 #PLAYCOLOR🎨 ]

플레이컬러 네번째 주자❗ 제이미가 펼치는 환상적인 캐시미어블루 빛 음악💙 11월 13일 밤 5시 지니 유튜브에서 만나요  #JAMIE #Apollo11 @jiminpar…"
78,2020-11-11,🥺🥺🥺 https://t.co/LoGqDQvxa7
79,2020-11-10,https://t.co/QnltnDxE0J Apollo11 🛸🤍 teaser🚀
80,2020-11-09,With Jay🛸park🤍 https://t.co/pLl0L7CReA
81,2020-11-07,"RT @jamiestaffsays: JAMIE - APOLLO 11
2020.11.11
18:00 KST
#JAMIE #JAMIEPARK #제이미 #APOLLO11 #1111 https://t.co/SDAhVFB9l2"
82,2020-11-07,#apollo11 🛸🖤 https://t.co/dGn3dUh6zz
83,2020-11-05,🤍🛸🤍 https://t.co/2ov5Ae9xNs
84,2020-11-04,#apollo11 #jamiecomeback1111 https://t.co/kG1TrhKc9H
85,2020-11-04,🚀🛸🚀 https://t.co/wktwkojAa7
86,2020-10-28,@kevinwoo91 https://t.co/Dl99eAlLLk
87,2020-10-28,👌🏻👤🙋🏻‍♀️💪🏻
88,2020-10-27,🛸🛸🛸
89,2020-10-08,@kevinwoo91 Oppar? https://t.co/bry212m8wG
90,2020-10-06,10000000 points https://t.co/nQtL9otg9d
91,2020-10-06,...🌺 https://t.co/OnSaxI2z10
92,2020-10-02,11:11
