,Tweeted Date,Tweet Description,Popularity Count
0,2021-05-19,あすのめざましテレビ気になる人がいたらRT♪　星野源　▽新垣結衣　▽BTS　▽SEKAI NO OWARI　▽大谷翔平　▽八村塁　💡内容変更の際はご了承ください。#めざましテレビ,7305
1,2021-05-20,"本日19時より「バードマン」MUSIC VIDEO全編が
YouTube “SEKAI NO OWARI official channel” にて公開🎬

https://t.co/x1mc6yBl13",7023
2,2021-05-20,"SEKAI NO OWARI『バードマン』MVを監督しました。
この曲を初めて聴かせてもらったとき
彼らがずっと大切にしてきたものを映像にしたいと思いました。
日常は、こんなにも愛おしくて眩しいんだ。

ぜひ最初から最後までみてほ… https://t.co/gEfqTikvXr",3879
72,2021-05-19,"ちょこっと前のライブ動画シリーズ😚🎶

「RAIN / SEKAI NO OWARI」Cover

もう梅雨入りしたかのような雨空です。。。😌

#RAIN #SEKAINOOWARI
#セカオワ #世界の終わり
#サビだけカバー… https://t.co/DGgL7xt5Ga",16
88,2021-05-19,"SEKAI NO OWARI さんの「RAIN」バスマリンバで参加させて頂きました🙇‍♂️
編集やサムネイルは全部メンバーのお兄さんお姉さんがしてくださっています👌💕 https://t.co/ZwEJBfgleM",11
39,2021-05-19,"空は青く澄み渡り 海を目指して歩く
怖くても大丈夫 僕らはもう一人じゃない/RPG",4
111,2021-05-19,"「人」と描いて他人という意味の
この国はヒトを恐れて生きてきた
けれど「人」の「間」にあるものは
不安や恐れじゃなくて
愛だと子供たちに「教え」たい/Never Ending World #sekainoowari",2
115,2021-05-19,"wondering if i can get less than Y500 goods of the ff from mercari... 
noragami
owari no seraph
arslan senki
danmac… https://t.co/YygEkUb9kV",1
149,2021-05-19,"8. 좋아하는 가수

우타이테는 
다즈비님, 월피스카터, 달의하루 등등

J-Pop가수는
Mrs. Green Apple, sekai no owari, radwimps, lucklife, Aimer, MITH… https://t.co/EfdC4bJXQY",1
9,2021-05-21,"RT @Dai_Ikeda: SEKAI NO OWARI『バードマン』MVを監督しました。
この曲を初めて聴かせてもらったとき
彼らがずっと大切にしてきたものを映像にしたいと思いました。
日常は、こんなにも愛おしくて眩しいんだ。

ぜひ最初から最後までみてほしいです。

ht…",0
106,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
100,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
101,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
102,2021-05-19,"RT @eigajoho: SEKAI NO OWARIメンバー映画『キャラクター』撮影現場訪問
https://t.co/K4m6indIFi　https://t.co/6He6em0VAq
#キャラクター　
#菅田将暉　
#Fukase　
#セカオワ　
#Saori　
#D…",0
103,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
104,2021-05-19,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● 今一番欲しいものは何？…
● あのんです。質問ではないですそ…
● SEKAI NO OWARIは…
#質問箱 #匿名質問募集中

https://t.co/qqYnWlsGA7",0
105,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
107,2021-05-19,"RT @sol_info: 【🏫新曲解禁情報🎶】

明日19日(水)、我が校の""世界始""の講師 SEKAI NO OWARI 先生🌏 [ @SekaiNoOwariOFC ] の新曲『バードマン』を初オンエア🎶🏀

遅刻厳禁でよろしく✋🏫

#SEKAINOOWARI #セカオ…",0
98,2021-05-19,"もっと沢山のセカオ輪さんやwimperさんと繋がりたい！

RTしてくれたら必ずフォローします！
相互希望です！
拡散お願いします
m(_ _)m

#SEKAI_NO_OWARI
#RADWIMPS",0
108,2021-05-19,"RADWIMPS,ONE OK ROCK,UVERworld,flumpool,back number,SEKAI NO OWARIなどが好きです。
趣味が合う方は必ずフォロバします！
こちらからは無言フォローが多めです。すいません。",0
109,2021-05-19,"하얀 병원에서 죽은 우리의 아이는
더 이상 이세상엔 없는데
왜 아무것도 느낄수 없는 걸까
幻の命 - sekai no owari",0
110,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
4,2021-05-21,"RT @wjbej7i55wepeb1: サブスク解禁のアーティスト

ONE OK ROCK
SEKAI NO OWARI
Mr.Children
ゆず
WANIMA
スキマスイッチ
Official髭男dism
あいみょん
King Gnu
back number
サカナク…",0
112,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
113,2021-05-19,"Fight Music / SEKAI NO OWARI

https://t.co/R7oFwIwSL3",0
99,2021-05-19,RT @eigacom: 菅田将暉主演「キャラクター」撮影現場を「SEKAI NO OWARI」メンバー訪問！　殺人鬼役のFukaseにSaori「鳥肌が立ちました」 #キャラクター #菅田将暉 #Fukase #SEKAINOOWARI #Saori https://t.co…,0
97,2021-05-19,SEKAI NO OWARIが好きな人RT https://t.co/GdTBjcK2bk,0
80,2021-05-19,"RT @mag_mina: mina7月号 5/20（木）発売
【表紙】
梅雨が明けたら。／永野芽郁

増田貴久（NEWS）
髙橋海人（King &amp; Prince）
神木隆之介
Fukase（SEKAI NO OWARI）
清水尋也

🔗Amazon：
 https://t.c…",0
5,2021-05-21,"RT @SekaiNoOwariOFC: 本日19時より「バードマン」MUSIC VIDEO全編が
YouTube “SEKAI NO OWARI official channel” にて公開🎬

https://t.co/x1mc6yBl13",0
82,2021-05-19,"RT @sol_info: 【🏫新曲解禁情報🎶】

明日19日(水)、我が校の""世界始""の講師 SEKAI NO OWARI 先生🌏 [ @SekaiNoOwariOFC ] の新曲『バードマン』を初オンエア🎶🏀

遅刻厳禁でよろしく✋🏫

#SEKAINOOWARI #セカオ…",0
