,Tweeted Date,Tweet Description,Popularity Count
0,2021-05-14,"This is 100% me when I study, but in the summer months I sometimes switch to forest rain instead of fireplace ambie… https://t.co/UnmjHx79HL",2
1,2021-05-14,"昨日のジャクソンとの曲以外にもRAINの曲何かあるかなって漁ったら、JYPとの師弟コラボがあってとんでもなくよかったので今日ずっとこのMV見てる。かっこよ…。

RAIN(비) - ""나로 바꾸자 Switch to me (du… https://t.co/tYwXeaCNda",0
2,2021-05-14,"RT @sugarray0503: NOT SHY BEARs - RAINxJYP​ - Switch to me (Bears Ver.)  4K

New Jack Swing style with retro dance and costumes, reproduce…",0
3,2021-05-13,"RT @J_ONESONG: Han Jisung bbl 💭 wake up mini concert playlist :

- Sunday morning (maroon 5)
- switch to me (JYP x Rain)
- Instagram (Dean)…",0
4,2021-05-13,"RT @sugarray0503: NOT SHY BEARs - RAINxJYP​ - Switch to me (Bears Ver.)  4K

New Jack Swing style with retro dance and costumes, reproduce…",0
5,2021-05-13,"RT @suppinmindscot: Have you been exploring #nature this #MentalHealthAwarenessWeek? 

We've had a rather wet week in Scotland so far. But…",0
6,2021-05-13,"RT @suppinmindscot: Have you been exploring #nature this #MentalHealthAwarenessWeek? 

We've had a rather wet week in Scotland so far. But…",0
7,2021-05-13,"RT @suppinmindscot: Have you been exploring #nature this #MentalHealthAwarenessWeek? 

We've had a rather wet week in Scotland so far. But…",0
8,2021-05-13,"Have you been exploring #nature this #MentalHealthAwarenessWeek? 

We've had a rather wet week in Scotland so far.… https://t.co/sA3NZ03w3u",5
9,2021-05-13,Check out my brothers dance cover at EMCOK YT CHannel https://t.co/FQDqW6NCpR EMCOK | EVENT #1 KPOP COVER CHALLENGE… https://t.co/Y9FamNcY0w,0
10,2021-05-13,"ピ(rain)おじさんとパクジニョンのswitch to meパフォーマンスとか見るとおっさん2人でも踊りながら音程も声もよくてさすがだなと
インストだけでボーカル音源流さないのも矜持を感じる",1
11,2021-05-12,@nctiechan hmm ultimatum by luss or switch to me by rain bc it’s so addicting,1
12,2021-05-12,@eleraunabestiae tengo q confesar qe m gusta switch to me d rain y el innombrable,0
13,2021-05-12,"@ikonystar é switch to me, do rain com o jyp",0
14,2021-05-12,"Why do i always read ""switch it up"" by jay b as ""switch to me"" by rain and jaywhypee😖",0
15,2021-05-11,"#나로바꾸자 #커버댄스 #2인안무
자매의 취미생활 비(RAIN) X 박진영(JYP) '나로 바꾸자(Switch to me)' 커버댄스 Dance cover
https://t.co/rW4x6S713M",0
16,2021-05-11,"RAIN with JYP - Switch to me #KPOPNaRadioRadical

👉 https://t.co/GyUa8cyvjW https://t.co/nD333oHV07",6
17,2021-05-11,RT @byunIock: escuto switch to me com o Rain e o JYP e em seguida da Chae com a Dahyun,0
18,2021-05-11,escuto switch to me com o Rain e o JYP e em seguida da Chae com a Dahyun,0
19,2021-05-11,"#RAINXJYP #비 #RAIN
RAIN(비) - ""나로 바꾸자 Switch to me (duet with JYP)"" MV
https://t.co/zw09NFrWSc",0
20,2021-05-11,wala ba talagang switch to me tapos rain only version lang haahhahaha amp war flashbacks to jan 2021 whenever i hear jyp,0
21,2021-05-11,wala bang switch to me na rain version lang,0
22,2021-05-11,"Wait wait is this a coincidence? His first solo single is ""Switch It Up"" and Rain ft JYP is ""Switch to me"" 😂
No way… https://t.co/9IJFOaHJHL",0
23,2021-05-11,mi gusto culposo es Switch to me...... la versión de JYP y Rain............,0
24,2021-05-10,i woke up to switch to me by jyp n rain,0
25,2021-05-10,xfin voy a poder escuchar a rain cantando Switch to me o a Sunmi cantando when we disco sin jyp🤩,0
26,2021-05-09,@louisshoppe SWITCH TO ME RAIN × JYP #LOUIS_PALARO #LOUISSHOPPE #LOUIS_GA,0
27,2021-05-09,"&lt;說實話&gt;
Rain跟JYP的Switch to me
裡面跳舞片段的服裝照型
我以為在看90年代的服裝

但是衣服看起來好像也不便宜",0
28,2021-05-08,"@PaganTrelawney @Dawnkay1927 Can your experience top mine? Longhaul, Bole (Addis) to Beijing. AC (i think) above me… https://t.co/yB9dclQwLW",1
29,2021-05-08,"switch to meのJYPとRAINオッパカッコよすぎる✨✨
いつかはレインオッパみたいなムキムキボディになりたいな🤩🤩💪💪

https://t.co/jk9NfIrp2W https://t.co/Ha1zYOp1zh",5
30,2021-05-08,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
31,2021-05-08,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
32,2021-05-08,@BucketsOf_Rain Don't like Labour anymore so totally switch side to a party who doesn't give a fig about working cl… https://t.co/eXvx6JjzR1,1
33,2021-05-08,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
34,2021-05-08,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
35,2021-05-08,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
36,2021-05-08,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
37,2021-05-08,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
38,2021-05-08,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
39,2021-05-08,#UribeSomosTodos Creo que el cover que hicieron Dahyun y Chaeyoung en switch to me fue mejor qie el de JYP y Rain i… https://t.co/yH9MRedPPB,1
40,2021-05-08,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
41,2021-05-08,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
42,2021-05-08,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
43,2021-05-08,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
44,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
45,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
46,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
47,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
48,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
49,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
50,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
51,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
52,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
53,2021-05-07,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
54,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
55,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
56,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
57,2021-05-07,"RT @Gabybarata_: Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",0
58,2021-05-07,"Switch to me- rain, jyp https://t.co/SGZpYLPS4Q",83
59,2021-05-07,"RT @angelraiiin: looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎ bisexu…",0
60,2021-05-07,"looking for more mutuals! 
♡︎ not new to nsfw twt, a new acc
♥︎ call me rain 🌧 
♡︎ 19, they/them
♥︎ switch(sub+)
♡︎… https://t.co/t3XzpeFt7O",51
61,2021-05-07,"@Grunt4lif @Julius_Kim @HStarshot Lady Clairol does not drip in the rain or when you perspire, trust me.  Pass this… https://t.co/WlNaadSwaX",1
