,Tweeted Date,Tweet Description,Popularity Count
63,2021-05-11,".@followjyp on MelOn Daily Chart (210510)

71. When We Disco (Duet with SUNMI) — 104,050 ULs [-2]
396. Switch to me… https://t.co/tGdHgZljGf",21
11,2021-05-14,".@followjyp on MelOn Daily Chart (210513)

70. When We Disco (Duet with SUNMI) — 112,388 ULs [-1]
375. Switch to me… https://t.co/pSlb5n7vDv",17
48,2021-05-12,".@followjyp on MelOn Daily Chart (210511)

70. When We Disco (Duet with SUNMI) — 108,635 ULs [+1]
383. Switch to me… https://t.co/5uMoCQxmSf",16
25,2021-05-13,나로 바꾸자 https://t.co/jYouBTMj89,13
32,2021-05-13,".@followjyp on MelOn Daily Chart (210512)

69. When We Disco (Duet with SUNMI) — 112,017 ULs [+1]
376. Switch to me… https://t.co/pGua2mnKTX",12
81,2021-05-10,".@followjyp on MelOn Daily Chart (210509)

69. When We Disco (Duet with SUNMI) — 100,595 ULs [-1]
396. Switch to me… https://t.co/XchbEv4iHA",12
76,2021-05-10,"마음이 울적할때 꽃처럼 화사한
밝은 마음으로 기분전환 ^^🌷🍀
날씨도 비오고 흐린날 꽃 샀어요^^
나로 바꾸자 어떤 🎶노래 생각나 
#아미의일상 
#꽃이되고싶다
#좋은것만생각하자
#JIMIN @BTS_twt https://t.co/bkMITzPkmE",5
40,2021-05-12,@jueying2020 호일도에게 경도되었을때 가문의 복수같은 거 틈왕의 보물 같은거 포기하고 장백산채를 떠나야 했다. 도와 검을 바꾸자고 했을때 싫다고 했어야. 내가 자기꿈에 나타난걸 보니 죽어도 잊지못할… https://t.co/Be3eeOAnS9,4
65,2021-05-11,빈이가 그 딴콩민 무대에서 나로바꾸자 커버 하려고 했다는거 계속 미련남음 ...,2
67,2021-05-11,나로 바꾸자~ (채영 다현 버전),2
75,2021-05-10,“나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project https://t.co/BlO1V2o8gc via @YouTube,1
93,2021-05-09,나로 바꾸자~ 얼쑤 춤추던 댕민 보고싶긔,1
27,2021-05-13,제발 나로 바꾸자,1
28,2021-05-13,@riboncandyremix “나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project https://t.co/DmSnM0Qymk,1
18,2021-05-13,"우0씨 ,, 나로바꾸자",1
35,2021-05-12,"Switch It Up - JayB
나로 바꾸자 Switch to me - Yeah that person
Tell me this is not a diss track? lol Am I the only one who sees this?",1
66,2021-05-11,"@showchampion1 쇼챔 선생님,,, 딴콩 나로바꾸자 커버 무대 어떻게 안될까요",1
61,2021-05-11,switch it up........ 왠지 보자마자 나로바꾸자가 떠올랐다,1
2,2021-05-14,이준호 몸매 나로 바꾸자아아아아아 제발 나로 바꾸자아아아 제발🙏 https://t.co/5vaqdfMy77,1
